"Timestamp","Gender identity?","What is your sexual identity?","What is your age?","What is the age range you are willing to date a member of your preferred sex (MPS)? (Check all that apply)","What is the age range you would PREFER/WANT to date?","For each of the age ranges you checked off that you would PREFER to date, please provide a short reason why you would date that age range"
"2019/07/15 2:38:18 PM AST","Male","Heterosexual","26-29","3-5 years younger;Same age to 2 years younger;3 years older to same old","Same age to 2 years younger","Similar maturity. "
"2019/07/15 2:40:10 PM AST","Male","Heterosexual","30+","5-10 years younger;3-5 years younger;Same age to 2 years younger","5-10 years younger;3-5 years younger;Same age to 2 years younger","kids, maturity level is more similar to mine"
"2019/07/15 2:42:02 PM AST","Male","Heterosexual","30+","10+ years younger;5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same old;3-6 years older;7-10 years older;10+ years older","10+ years younger;5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same old;3-6 years older;7-10 years older;10+ years older","10+ younger- Sugarbaby/eyecandy, 5-10 younger - semi sugar baby/eyecandy, 3-5 younger - serious dating/relate-able,  same - serious dating/relate-able, 3+ older, serious dating/relate-able, 3-6 older - serious dating/relate-able, 7-10 older - sugar mama, 10+ older - gold digging/sugar mama"
"2019/07/15 2:49:03 PM AST","Female","Heterosexual","23-25","Same age to 2 years younger;3 years older to same old","3 years older to same old","Like to taken care off lol"
"2019/07/15 2:54:49 PM AST","Male","Heterosexual","30+","5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same old;3-6 years older","Same age to 2 years younger;3 years older to same old","For females that are the same age to 2 years younger, I would think that they would have more in common because they grew up in the same generation and time as me. For females younger than 2 years, I would start to feel the difference in maturity. For females older than 3 years from my age, I would start feeling the differences in my generation from theirs or I might seem more immature compared to the older female.  "
"2019/07/15 2:59:36 PM AST","Female","Heterosexual","18-22","3 years older to same old;3-6 years older;7-10 years older","3 years older to same old;3-6 years older","More mature and less dumb usually"
"2019/07/15 2:59:55 PM AST","Male","Homosexual","18-22","Same age to 2 years younger;3 years older to same old;3-6 years older","Same age to 2 years younger;3 years older to same old","I'd prefer people more close to my age because we would probably have more in common and also be in a similar stage of life."
"2019/07/15 3:00:54 PM AST","Male","Heterosexual","18-22","Same age to 2 years younger;3 years older to same old","Same age to 2 years younger;3 years older to same old","Because both individuals would be at similar points in their lives and thing would not be awkward. "
"2019/07/15 3:01:36 PM AST","Male","Heterosexual","26-29","5-10 years younger;3-5 years younger;Same age to 2 years younger","Same age to 2 years younger","Cause you’re in that range 😎"
"2019/07/15 3:02:11 PM AST","Male","Heterosexual","26-29","5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same old;3-6 years older","5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same old;3-6 years older","No specific reasons. Not old or too young as we might have very different values and or interest. I think everything between  5 to 7 years difference is okay."
"2019/07/15 3:07:05 PM AST","Female","Heterosexual","26-29","3 years older to same old","3 years older to same old","Relatability"
"2019/07/15 3:11:30 PM AST","Male","Heterosexual","26-29","3-5 years younger;Same age to 2 years younger;3 years older to same old","3-5 years younger;Same age to 2 years younger","I'm a 27 year old male, so biologically, I would want someone who has the highest chance at producing an offspring.

Ideally, I would want Kim so I can have little Taiwanese/Vietnamese babies running around."
"2019/07/15 3:14:07 PM AST","Male","Heterosexual","18-22","Same age to 2 years younger;3 years older to same old","Same age to 2 years younger;3 years older to same old","More hip "
"2019/07/15 3:15:54 PM AST","Male","Heterosexual","23-25","3-5 years younger;Same age to 2 years younger;3 years older to same old","3-5 years younger;Same age to 2 years younger;3 years older to same old","Socially right"
"2019/07/15 3:16:55 PM AST","Male","Heterosexual","26-29","3-5 years younger;Same age to 2 years younger;3 years older to same old","Same age to 2 years younger","Prefer to date someone in the same phase of life as I am "
"2019/07/15 3:19:13 PM AST","Male","Heterosexual","26-29","10+ years younger;5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same old;3-6 years older;7-10 years older;10+ years older","10+ years younger;5-10 years younger;3-5 years younger;Same age to 2 years younger","Healthier eggs, better chance at reproduction, nicer skin, they’re not looking to settle down, more likely to use drugs, more fun etc,"
